objectid,filename,type,title,source-creator,source-creator-origin,source-audience,source_genre,source_subjects,source_lang,publication_date,edition_date,source_related,format,measurements,source_identifier,cover_artist,cover_artist_origin,cover_designer,cover_designer_origin,cover_type,cover_style,cover_description,cover_subjects,publisher_name,publisher_location,rights_holder,publisher_link
cover1,cover1.jpg,Image; StillImage,Frankenstein,"Shelley, Mary",England,General,Classic Fiction; Gothic & Horror; Science Fiction,Monsters; Scientists,eng,1818--01--01,2014--30--09,Penguin Clothbound Classics,Hardcover (clothbound),5-1/16 x 7-3/4,ISBN 9780141393391,Coralie Bickford-Smith,England,,,Graphic,Print on Cloth,"A graphic print of large repeated anatomical hearts adorns this purple clothbound cover. The title of ""Frankenstein"" sits at the top center of the book cover, with the author's name ""Mary Shelley"" printed at the bottom center of the cover. The anatomical heart pattern leaves blank spaces at the top and bottom for the text readability.",heart,Penguin Classics,"London, England",Penguin Random House,https://www.penguinrandomhouse.com/books/286385/frankenstein-by-mary-shelley-edited-with-an-introduction-and-notes-by-maurice-hindle-cover-illustration-by-coralie-bickford-smith/
cover2,cover2.jpg,Image; StillImage,Fahrenheit 451,"Bradbury, Ray","Waukegan, Illinois","General, Adult",Classic Fiction; Science Fiction,Dystopia; Books;Fire,eng,1953--19--10,2012--12--01,,Hardcover,5.5 x 8.44,9781439142677,,,Matthew Owen,,Graphic,,"A red background with a black, red, and white graphic of a box of matches and a black book fused together so that it a tray of matches is coming out of the top of a book laid on it's back cover. ",book;matches,Simon & Schuster,New York,Ray Bradbury ,https://www.simonandschuster.com/books/Fahrenheit-451/Ray-Bradbury/9781439142677
cover3,cover3.jpg,Image; StillImage,The Weary Blues,"Hughes, Langston",,,,,,,,,,,,,,,,,,,,,,,
cover4,cover4.jpg,Image; StillImage,Things Fall Apart,"Achebe, Chinua ","Ogidi, Nigeria","General, Adult",Classic Fiction; Historical Fiction,"Nigeria, Race, Igbo",eng,1994--09--01,,,paperback,5-3/16 x 8,9780385474542,Victor Ekpuk,,,,Graphic,drawing; illustration,,,,,,
cover5,cover5.jpg,Image; StillImage,The Merry Adventures of Robin Hood,,,,,,,,,,,,,,,,,,,,,,,,
cover6,,Image; StillImage,Murder on the Orient Express,,,,,,,,,,,,,,,,,,,,,,,,
cover7,,Image; StillImage,,,,,,,,,,,,,,,,,,,,,,,,,
cover8,,Image; StillImage,,,,,,,,,,,,,,,,,,,,,,,,,
cover9,,Image; StillImage,,,,,,,,,,,,,,,,,,,,,,,,,
cover10,,Image; StillImage,,,,,,,,,,,,,,,,,,,,,,,,,
cover11,,Image; StillImage,,,,,,,,,,,,,,,,,,,,,,,,,
cover12,,Image; StillImage,,,,,,,,,,,,,,,,,,,,,,,,,
cover13,,Image; StillImage,,,,,,,,,,,,,,,,,,,,,,,,,
cover14,,Image; StillImage,,,,,,,,,,,,,,,,,,,,,,,,,
cover15,,Image; StillImage,,,,,,,,,,,,,,,,,,,,,,,,,
cover16,,Image; StillImage,,,,,,,,,,,,,,,,,,,,,,,,,
cover17,,Image; StillImage,,,,,,,,,,,,,,,,,,,,,,,,,
cover18,,Image; StillImage,,,,,,,,,,,,,,,,,,,,,,,,,
cover19,,Image; StillImage,,,,,,,,,,,,,,,,,,,,,,,,,
cover20,,Image; StillImage,,,,,,,,,,,,,,,,,,,,,,,,,
cover21,,Image; StillImage,,,,,,,,,,,,,,,,,,,,,,,,,
cover22,,Image; StillImage,,,,,,,,,,,,,,,,,,,,,,,,,
cover23,,Image; StillImage,,,,,,,,,,,,,,,,,,,,,,,,,
cover24,,Image; StillImage,,,,,,,,,,,,,,,,,,,,,,,,,
